yearName,population,populationGrowthPercentage
2015,25200.266166061163,
2016,25639.041943356395,1.741
2017,26064.353183843195,1.659
2018,0.0,-100.0
2019,26955.12675743131,inf
2020,27455.330243804725,1.856
2021,27971.548635936346,1.88
2022,28516.296813711524,1.948
2023,29090.52154393401,2.014
2024,29667.93724553846,1.985
2025,30237.445489062928,1.92
2026,30775.692837380804,1.78
2027,31300.266650395468,1.705
2028,31811.43177027744,1.633
2029,32310.568815021776,1.569
2030,32795.83228292526,1.502
