year,comb_2020,comb_2050_ssp1,comb_2050_ssp2,comb_2050_ssp3,comb_2050_ssp5,comb_2080_ssp1,comb_2080_ssp2,comb_2080_ssp3,comb_2080_ssp5,fluvial_2020,fluvial_2050_ssp1,fluvial_2050_ssp2,fluvial_2050_ssp3,fluvial_2050_ssp5,fluvial_2080_ssp1,fluvial_2080_ssp2,fluvial_2080_ssp3,fluvial_2080_ssp5,pluvial_2020,pluvial_2050_ssp1,pluvial_2050_ssp2,pluvial_2050_ssp3,pluvial_2050_ssp5,pluvial_2080_ssp1,pluvial_2080_ssp2,pluvial_2080_ssp3,pluvial_2080_ssp5
1985,3.863497601161515,3.98457753201003,4.05268499311232,4.0736411349899475,4.129524179996954,4.031146736182536,4.15397301218752,4.293680624705037,4.433970352274711,1.4314209132523978,1.434913603565336,1.4389884089304301,1.4413168691390554,1.4500485949214004,1.4448095594519934,1.4459737895563058,1.4471380196606187,1.4814828077378417,3.6079490932648888,3.7336859445306545,3.8116893615196026,3.8361381937101675,3.903081424708145,3.7831657239639425,3.9327692923681177,4.093433046763263,4.240708154958812
1986,3.863497601161515,3.98457753201003,4.05268499311232,4.0736411349899475,4.129524179996954,4.031146736182536,4.15397301218752,4.293680624705037,4.433970352274711,1.4314209132523978,1.434913603565336,1.4389884089304301,1.4413168691390554,1.4500485949214004,1.4448095594519934,1.4459737895563058,1.4471380196606187,1.4814828077378417,3.6079490932648888,3.7336859445306545,3.8116893615196026,3.8361381937101675,3.903081424708145,3.7831657239639425,3.9327692923681177,4.093433046763263,4.240708154958812
1987,3.863497601161515,3.98457753201003,4.05268499311232,4.0736411349899475,4.129524179996954,4.031146736182536,4.15397301218752,4.293680624705037,4.433970352274711,1.4314209132523978,1.434913603565336,1.4389884089304301,1.4413168691390554,1.4500485949214004,1.4448095594519934,1.4459737895563058,1.4471380196606187,1.4814828077378417,3.6079490932648888,3.7336859445306545,3.8116893615196026,3.8361381937101675,3.903081424708145,3.7831657239639425,3.9327692923681177,4.093433046763263,4.240708154958812
1988,3.863497601161515,3.98457753201003,4.05268499311232,4.0736411349899475,4.129524179996954,4.031146736182536,4.15397301218752,4.293680624705037,4.433970352274711,1.4314209132523978,1.434913603565336,1.4389884089304301,1.4413168691390554,1.4500485949214004,1.4448095594519934,1.4459737895563058,1.4471380196606187,1.4814828077378417,3.6079490932648888,3.7336859445306545,3.8116893615196026,3.8361381937101675,3.903081424708145,3.7831657239639425,3.9327692923681177,4.093433046763263,4.240708154958812
1989,3.863497601161515,3.98457753201003,4.05268499311232,4.0736411349899475,4.129524179996954,4.031146736182536,4.15397301218752,4.293680624705037,4.433970352274711,1.4314209132523978,1.434913603565336,1.4389884089304301,1.4413168691390554,1.4500485949214004,1.4448095594519934,1.4459737895563058,1.4471380196606187,1.4814828077378417,3.6079490932648888,3.7336859445306545,3.8116893615196026,3.8361381937101675,3.903081424708145,3.7831657239639425,3.9327692923681177,4.093433046763263,4.240708154958812
1990,3.863497601161515,3.98457753201003,4.05268499311232,4.0736411349899475,4.129524179996954,4.031146736182536,4.15397301218752,4.293680624705037,4.433970352274711,1.4314209132523978,1.434913603565336,1.4389884089304301,1.4413168691390554,1.4500485949214004,1.4448095594519934,1.4459737895563058,1.4471380196606187,1.4814828077378417,3.6079490932648888,3.7336859445306545,3.8116893615196026,3.8361381937101675,3.903081424708145,3.7831657239639425,3.9327692923681177,4.093433046763263,4.240708154958812
1991,3.863497601161515,3.98457753201003,4.05268499311232,4.0736411349899475,4.129524179996954,4.031146736182536,4.15397301218752,4.293680624705037,4.433970352274711,1.4314209132523978,1.434913603565336,1.4389884089304301,1.4413168691390554,1.4500485949214004,1.4448095594519934,1.4459737895563058,1.4471380196606187,1.4814828077378417,3.6079490932648888,3.7336859445306545,3.8116893615196026,3.8361381937101675,3.903081424708145,3.7831657239639425,3.9327692923681177,4.093433046763263,4.240708154958812
1992,3.863497601161515,3.98457753201003,4.05268499311232,4.0736411349899475,4.129524179996954,4.031146736182536,4.15397301218752,4.293680624705037,4.433970352274711,1.4314209132523978,1.434913603565336,1.4389884089304301,1.4413168691390554,1.4500485949214004,1.4448095594519934,1.4459737895563058,1.4471380196606187,1.4814828077378417,3.6079490932648888,3.7336859445306545,3.8116893615196026,3.8361381937101675,3.903081424708145,3.7831657239639425,3.9327692923681177,4.093433046763263,4.240708154958812
1993,3.863497601161515,3.98457753201003,4.05268499311232,4.0736411349899475,4.129524179996954,4.031146736182536,4.15397301218752,4.293680624705037,4.433970352274711,1.4314209132523978,1.434913603565336,1.4389884089304301,1.4413168691390554,1.4500485949214004,1.4448095594519934,1.4459737895563058,1.4471380196606187,1.4814828077378417,3.6079490932648888,3.7336859445306545,3.8116893615196026,3.8361381937101675,3.903081424708145,3.7831657239639425,3.9327692923681177,4.093433046763263,4.240708154958812
1994,4.199377986255714,4.3303538729908855,4.408357289979833,4.430477661961773,4.490435512333875,4.384490572841424,4.516630689680909,4.6685627182937095,4.818166286697884,1.5338731624319106,1.5396943129534741,1.5426048882142556,1.5449333484228809,1.5554114193616948,1.5490081537879752,1.5519187290487566,1.5519187290487568,1.5880098622824488,3.9234554515336155,4.059670373738196,4.14931609177027,4.175511269117304,4.247111420532532,4.117881878953828,4.2785456333489735,4.452598033943714,4.609769098025921
1995,4.516048574628753,4.657502532302739,4.743655560021875,4.767522277160284,4.835629738262574,4.71746038267484,4.8635712607660775,5.025399245265535,5.185480884608523,1.6252652256204534,1.629340030985548,1.633414836350642,1.6363254116114236,1.649714057811019,1.6398181019243616,1.6450571373937684,1.645639252445925,1.6887157663054926,4.230812199072154,4.375176732006922,4.47238994571703,4.499749353168376,4.57833488520948,4.438627272691962,4.613261788338859,4.797792259872413,4.965441394893434
1996,4.680205019336836,4.830972817845323,4.92003642082524,4.945067368067962,5.019578094743972,4.89325912842605,5.048683847351788,5.218661442581435,5.384564232445986,1.667759624427865,1.6753271201058975,1.6794019254709915,1.6823125007317732,1.6957011469313685,1.6858051910447112,1.691044226514118,1.6922084566184308,1.7358670855301548,4.390311723362986,4.545154327236569,4.645278116207457,4.673801753763116,4.75879055137794,4.610933328130233,4.794881684611632,4.986397536771062,5.159867822313646
1997,4.813509366280634,4.967187740049902,5.059744033342757,5.084774980585479,5.161614167470114,5.032966740943567,5.191302035130088,5.364190205620515,5.53591414600663,1.7067613329223386,1.7154930587046837,1.7207320941740905,1.723642669434872,1.7376134306866238,1.72713535974781,1.7335386253215295,1.734120740373686,1.7789435993897227,4.518377034837377,4.677294444076054,4.7809109233598805,4.809434560915539,4.896751818738989,4.746566135282657,4.933425067024836,5.127851494445048,5.308307160613508
1998,4.974173120675779,5.134836875070923,5.2297216285724035,5.254752575815125,5.332755992804073,5.202944336173213,5.3624438604640465,5.541735296528193,5.723355192800966,1.7480915016254375,1.7585695725642516,1.763226492981502,1.7661370682422837,1.7801078294940353,1.770211873607378,1.776033024128941,1.7766151391810976,1.8220201132492906,4.6691448333458645,4.835047623210418,4.941574677755026,4.970098315310684,5.059161918290603,4.906647774625646,5.096417281628606,5.297246974622539,5.488180711729812
1999,5.1336726449666115,5.304232355248413,5.402609799062831,5.4282228613577095,5.507972623503126,5.374086161507172,5.539988951371725,5.729176343322529,5.9166173901168655,1.806885121893226,1.8173631928320402,1.8237664584057596,1.8266770336665412,1.838901449761824,1.8301697239794792,1.8348266443967296,1.8354087594488862,1.8802316184649228,4.821076861958665,4.992800802344782,5.101656317098015,5.130762069705829,5.223318362998686,5.065565183864322,5.262902186545315,5.474792065530217,5.6738754133676785
2000,5.209347601746933,5.386310577602455,5.485270136469029,5.510883198763907,5.591215075961481,5.45674649891337,5.623813518882235,5.817075716198134,6.008591568357565,1.8255128035622283,1.8371551046053551,1.8429762551269182,1.8458868303876999,1.8581112464829825,1.8499616357527942,1.8540364411178882,1.8546185561700448,1.900605645290394,4.894423358530362,5.0719684494380415,5.181406079243431,5.210511831851246,5.303650240196259,5.145314946009739,5.343816178795044,5.560362978197196,5.763521131399752
2001,5.278619292953536,5.455582268809057,5.557452402936413,5.583647580283448,5.668054262846115,5.528928765380754,5.701816935871182,5.899153938552176,6.092416135868075,1.8522900959614192,1.865678742161015,1.871499892682578,1.8744104679433597,1.8866348840386424,1.8790673883606104,1.8825600786735481,1.883724308777861,1.9302935129503667,4.9596202443718695,5.138911680436019,5.25125988550219,5.280947753162161,5.378160966872268,5.214586637216342,5.419491135575366,5.639530625290456,5.8450172387016375
2002,5.346144639003669,5.524271844963503,5.629052554351641,5.656411961802989,5.741982874469969,5.599946801743825,5.775745547495036,5.97599312543681,6.171583782961335,1.8808137335170791,1.8953666098209876,1.9011877603425507,1.9040983356033323,1.916322751698615,1.908755256020583,1.9122479463335207,1.9134121764378336,1.9605634956624955,5.023652900109065,5.205854911433996,5.321695806813105,5.352547904577389,5.4509253483918085,5.2844404434751,5.492255517094907,5.7152055820707774,5.923602770742741
2003,5.493419747199219,5.673293298315522,5.779238237807972,5.807761875363632,5.897989708447863,5.750714600252313,5.934080841681555,6.141895915301363,6.340979263138825,1.9529959999844633,1.9698773364969968,1.9745342569142474,1.977444832175029,1.9896692482703118,1.9832659826965924,1.9855944429052175,1.9873407880616867,2.0362384524428174,5.152300326635612,5.3385771433256375,5.457328613965529,5.489927056886281,5.592961421117951,5.419491135575367,5.636620050029674,5.868301840787891,6.080191719772793
