year,population
2000,37706.68760681152
2001,32336.994689941406
2002,32887.32183074951
2003,0.0
2004,32501.534790039062
2005,32001.226959228516
2006,34655.402755737305
2007,31935.044998168945
2008,35446.88069152832
2009,40918.542404174805
2010,36006.697189331055
2011,43669.69140625
2012,39212.74702453613
2013,37484.51615905762
2014,34315.98374938965
2015,37394.19062805176
2016,44166.06004333496
2017,49284.043228149414
2018,44487.812911987305
2019,45743.163146972656
2020,42755.65427398682
