type,exposed_dense_pop_pct
fluvial_2020,9.091556822230139
fluvial_2050_ssp1,9.236789578737262
fluvial_2050_ssp2,9.270931820569388
fluvial_2050_ssp3,9.270931820569388
fluvial_2050_ssp5,9.33396365164408
fluvial_2080_ssp1,9.297195083517176
fluvial_2080_ssp2,9.315579367580629
fluvial_2080_ssp3,9.344468956823196
fluvial_2080_ssp5,9.528311797457716
pluvial_2020,24.951905949412183
pluvial_2050_ssp1,25.932345834646497
pluvial_2050_ssp2,26.50488496690829
pluvial_2050_ssp3,26.638827607942012
pluvial_2050_ssp5,27.174598172076898
pluvial_2080_ssp1,26.31841579997899
pluvial_2080_ssp2,27.366319991595756
pluvial_2080_ssp3,28.47988234058199
pluvial_2080_ssp5,29.569807752915224
comb_2020,26.531290820567627
comb_2050_ssp1,27.479252022271243
comb_2050_ssp2,27.994011976047904
comb_2050_ssp3,28.104317680428615
comb_2050_ssp5,28.59806702384704
comb_2080_ssp1,27.841685050950733
comb_2080_ssp2,28.758272927828553
comb_2080_ssp3,29.751024267254966
comb_2080_ssp5,30.76215989074483
