bin,count,percent,Percent,Slope,UpperRange
0-2,66527,98.7091413564402,99%,0.0,2.0
2-5,782,1.1602890336365121,1%,2.0,5.0
5-10,88,0.13056960992329036,0%,5.0,10.0
