year,comb_2020,comb_2050_ssp1,comb_2050_ssp2,comb_2050_ssp3,comb_2050_ssp5,comb_2080_ssp1,comb_2080_ssp2,comb_2080_ssp3,comb_2080_ssp5,fluvial_2020,fluvial_2050_ssp1,fluvial_2050_ssp2,fluvial_2050_ssp3,fluvial_2050_ssp5,fluvial_2080_ssp1,fluvial_2080_ssp2,fluvial_2080_ssp3,fluvial_2080_ssp5,pluvial_2020,pluvial_2050_ssp1,pluvial_2050_ssp2,pluvial_2050_ssp3,pluvial_2050_ssp5,pluvial_2080_ssp1,pluvial_2080_ssp2,pluvial_2080_ssp3,pluvial_2080_ssp5
1985,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858,0.09139206318854269,0.08091399224972888,0.07567495678032198,0.07509284172816565,0.07276438151954036,0.07742130193679095,0.07218226646738403,0.05937573531994493,0.037255363338004666,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858
1986,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858,0.09139206318854269,0.08091399224972888,0.07567495678032198,0.07509284172816565,0.07276438151954036,0.07742130193679095,0.07218226646738403,0.05937573531994493,0.037255363338004666,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858
1987,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858,0.09139206318854269,0.08091399224972888,0.07567495678032198,0.07509284172816565,0.07276438151954036,0.07742130193679095,0.07218226646738403,0.05937573531994493,0.037255363338004666,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858
1988,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858,0.09139206318854269,0.08091399224972888,0.07567495678032198,0.07509284172816565,0.07276438151954036,0.07742130193679095,0.07218226646738403,0.05937573531994493,0.037255363338004666,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858
1989,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858,0.09139206318854269,0.08091399224972888,0.07567495678032198,0.07509284172816565,0.07276438151954036,0.07742130193679095,0.07218226646738403,0.05937573531994493,0.037255363338004666,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858
1990,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858,0.09139206318854269,0.08091399224972888,0.07567495678032198,0.07509284172816565,0.07276438151954036,0.07742130193679095,0.07218226646738403,0.05937573531994493,0.037255363338004666,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858
1991,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858,0.09139206318854269,0.08091399224972888,0.07567495678032198,0.07509284172816565,0.07276438151954036,0.07742130193679095,0.07218226646738403,0.05937573531994493,0.037255363338004666,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858
1992,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858,0.09139206318854269,0.08091399224972888,0.07567495678032198,0.07509284172816565,0.07276438151954036,0.07742130193679095,0.07218226646738403,0.05937573531994493,0.037255363338004666,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858
1993,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858,0.09139206318854269,0.08091399224972888,0.07567495678032198,0.07509284172816565,0.07276438151954036,0.07742130193679095,0.07218226646738403,0.05937573531994493,0.037255363338004666,1.6421465621329867,1.7574053424599387,1.8196916530406653,1.824930688510072,1.9285471677938977,1.8051387767367573,1.9582350354538702,2.12763051563136,2.3325350139903858
1994,1.689297881357649,1.8057208917889136,1.871499892682578,1.8767389281519848,1.9821017525922793,1.8552006712222011,2.0129538503565647,2.186424135899149,2.3930749794146435,0.09546686855363695,0.08498879761482314,0.07974976214541624,0.07916764709325991,0.07683918688463462,0.08149610730188521,0.07625707183247829,0.06286842563288286,0.03841959344231731,1.689297881357649,1.8057208917889136,1.871499892682578,1.8767389281519848,1.9821017525922793,1.8552006712222011,2.0129538503565647,2.186424135899149,2.3930749794146435
