year,population
2000,48414.14596557617
2001,45922.35354614258
2002,52808.76272583008
4,0.0
2004,49736.31430053711
2005,51147.05676269531
2006,49421.25979614258
2007,48621.64440917969
2008,48541.377014160156
2009,47567.576599121094
2010,50672.15100097656
2011,49584.85104370117
2012,48185.01428222656
2013,47451.97720336914
2014,52453.39416503906
2015,58777.61880493164
2016,55681.639068603516
2017,55095.76153564453
2018,61736.60223388672
2019,58422.4967956543
2020,62869.25503540039
