yearName,population,populationGrowthPercentage
4,0.0,
2015,85222.19211563468,inf
2016,86798.75564079732,1.85
2017,88391.74828776345,1.835
2019,91673.8486442212,3.713
2020,93482.04037034698,1.972
2021,95394.56060681865,2.046
2022,97428.124154225,2.132
2023,99515.74985509552,2.143
2024,101638.92893572897,2.134
2025,103720.89139533788,2.048
2026,105712.79183660077,1.92
2027,107664.6989929136,1.846
2028,109553.15758541971,1.754
2029,111391.096662065,1.678
2030,113208.35971121304,1.631
