type,exposed_dense_pop_pct
fluvial_2020,0.9469946073918191
fluvial_2050_ssp1,0.8360222939278381
fluvial_2050_ssp2,0.7797985724063753
fluvial_2050_ssp3,0.7749095531436394
fluvial_2050_ssp5,0.7211303412535446
fluvial_2080_ssp1,0.8140217072455266
fluvial_2080_ssp2,0.7040187738339688
fluvial_2080_ssp3,0.5060134936931651
fluvial_2080_ssp5,0.29089664613278576
pluvial_2020,20.667280459467754
pluvial_2050_ssp1,21.85636061406082
pluvial_2050_ssp2,22.743717610247387
pluvial_2050_ssp3,22.790163293243378
pluvial_2050_ssp5,23.921971252566735
pluvial_2080_ssp1,22.579935464945734
pluvial_2080_ssp2,24.168866725334897
pluvial_2080_ssp3,25.691796225677127
pluvial_2080_ssp5,27.603402757406865
comb_2020,20.667280459467754
comb_2050_ssp1,21.85636061406082
comb_2050_ssp2,22.743717610247387
comb_2050_ssp3,22.790163293243378
comb_2050_ssp5,23.921971252566735
comb_2080_ssp1,22.579935464945734
comb_2080_ssp2,24.168866725334897
comb_2080_ssp3,25.691796225677127
comb_2080_ssp5,27.603402757406865
