year,population
2000,36213.964698791504
2001,37107.09705352783
2002,41037.220138549805
2003,0.0
2004,39773.59210205078
2005,41386.457275390625
2006,42130.668365478516
2007,39999.3233795166
2008,40522.735122680664
2009,47522.52836608887
2010,41086.94937133789
2011,44847.36689758301
2012,46430.24751281738
2013,52763.158920288086
2014,48474.652252197266
2015,49782.58967590332
2016,61127.260833740234
2017,61250.317321777344
2018,60705.93116760254
2019,60378.03225708008
2020,65583.52096557617
