Land Cover Type,Pixel Count
Tree cover,1155
Shrubland,23686
Grassland,1114
Cropland,408629
Built-up,294998
Bare / sparse vegetation,9883
Snow and ice,0
Permanent water bodies,10524
Herbaceous wetland,93
Mangroves,0
Moss and lichen,0
