yearName,population,populationGrowthPercentage
2015,62308.46399726719,
2016,63434.26200032141,1.807
2017,64527.07477099635,1.723
2018,0.0,-100.0
2019,66813.12582960585,inf
2020,68081.611075297,1.899
2021,69417.25994875096,1.962
2022,70846.73020821251,2.059
2023,72310.25790010858,2.066
2024,73783.88570958655,2.038
2025,75234.62568634376,1.966
2026,76630.2935331557,1.855
2027,77985.29732449702,1.768
2028,79295.30060514528,1.68
2029,80577.08743765764,1.616
2030,81841.17310376558,1.569
