bin,count,percent,Percent,Slope,UpperRange
0-2,83012,98.25416928048102,98%,0.0,2.0
2-5,1429,1.6913844733509296,2%,2.0,5.0
5-10,46,0.05444624616804953,0%,5.0,10.0
