type,exposed_dense_pop_pct
fluvial_2020,43.567267997511735
fluvial_2050_ssp1,44.349588502640955
fluvial_2050_ssp2,45.07840969577857
fluvial_2050_ssp3,45.08045694632109
fluvial_2050_ssp5,45.7130573639602
fluvial_2080_ssp1,44.998566924620235
fluvial_2080_ssp2,45.81746714162879
fluvial_2080_ssp3,46.48896531957581
fluvial_2080_ssp5,47.67022888261066
pluvial_2020,21.365152971780805
pluvial_2050_ssp1,22.628260246488967
pluvial_2050_ssp2,23.567948245506283
pluvial_2050_ssp3,23.567948245506283
pluvial_2050_ssp5,24.530156000491342
pluvial_2080_ssp1,23.51881423248577
pluvial_2080_ssp2,24.581337264054376
pluvial_2080_ssp3,25.592679032059944
pluvial_2080_ssp5,27.1096916840683
comb_2020,45.77466116232163
comb_2050_ssp1,46.781722147156366
comb_2050_ssp2,47.582197109282234
comb_2050_ssp3,47.582197109282234
comb_2050_ssp5,48.31306555296237
comb_2080_ssp1,47.5023543381239
comb_2080_ssp2,48.41542808008844
comb_2080_ssp3,49.308029316627774
comb_2080_ssp5,50.79228595995578
