bin,count,percentage
0-5,46183,40.81
5-10,0,0.0
10-15,0,0.0
15-20,0,0.0
20-25,0,0.0
25-30,0,0.0
30-35,2001,1.77
35-40,50585,44.7
40-45,13605,12.02
45-50,800,0.71
50-55,2,0.0
